Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14758330,R14922142,"2025-11-22 12:04:23",0.6855,16,misuhsieh
2,14714125,R14922A14,"2025-11-20 00:09:34",0.6756,21,blebub
3,14647541,R14922A10,"2025-11-18 12:25:08",0.6747,23,skltrrf
4,14680054,r13943142,"2025-11-21 07:07:36",0.6735,26,r13943142
5,14746862,R14943027,"2025-11-21 09:04:46",0.6673,19,jeffchen2025
6,14659544,R14922125,"2025-11-22 17:16:38",0.6671,41,dylan0413
7,14726226,b12505014,"2025-11-22 14:37:56",0.6638,23,b12505014
8,14772345,B13902014,"2025-11-23 03:21:19",0.6632,11,willychanntu
9,14642202,R14943148,"2025-11-18 04:02:38",0.6627,14,r14943148
10,14708296,R14922015,"2025-11-23 07:23:18",0.6622,26,weixuan0102
11,14641344,R14944045,"2025-11-22 06:51:06",0.6606,35,r14944045
12,14678362,b13902102,"2025-11-21 09:09:34",0.6605,20,gaga1664
13,14647462,R14922140,"2025-11-21 12:45:13",0.6603,45,r14922140
14,14723658,R14945026,"2025-11-20 20:23:40",0.6562,17,maxzyz
15,14648879,r14921017,"2025-11-22 01:30:15",0.6555,42,vicky1231
16,14652518,r14946008,"2025-11-21 12:45:23",0.6537,20,r14946008
17,14713020,R14922A05,"2025-11-21 05:24:37",0.6494,20,r14922a05
18,14696078,b12505010,"2025-11-22 14:11:07",0.6486,27,b12505010
19,14724883,b11801004,"2025-11-21 11:06:53",0.6477,12,william25885
20,14653343,R14922101,"2025-11-21 17:38:58",0.6476,27,r14922101
21,14708303,b10801011,"2025-11-23 15:21:41",0.6470,17,kkykk18
22,14636757,R14922010,"2025-11-15 17:30:38",0.6453,17,ytbr14
23,14766651,D13922020,"2025-11-21 19:14:02",0.6440,3,d13922020
24,14780419,D13944014,"2025-11-20 09:28:19",0.6436,6,niewenhua
25,14666334,b13902060,"2025-11-21 02:49:50",0.6414,33,cwh555
26,14645007,D14922013,"2025-11-22 02:27:44",0.6414,21,ntud14922013
27,14695185,R13521527,"2025-11-21 08:27:24",0.6409,15,ntuihungwu
28,14672357,B11901152,"2025-11-21 15:09:46",0.6408,24,dereklin20031205
29,14643138,R13922A24,"2025-11-22 08:49:41",0.6393,33,r13922a24ntuedutw
30,14654097,R14944047,"2025-11-21 02:51:36",0.6390,16,r14944047
31,14638810,R14922163,"2025-11-23 07:16:34",0.6365,6,lawrhis
32,14699461,R13943068,"2025-11-23 11:52:53",0.6355,10,r13943068ntu
33,14696909,R14922164,"2025-11-20 10:44:49",0.6345,23,davidg34
34,14681287,D14942014,"2025-11-16 05:41:01",0.6337,10,d14942014
35,14743478,B13902127,"2025-11-22 09:47:34",0.6300,14,chiatiling2
36,14674066,B11901166,"2025-11-21 09:56:57",0.6295,31,b11901166
37,14674277,R14922172,"2025-11-22 13:29:28",0.6288,30,r14922172t
38,14707360,D14922020,"2025-11-21 15:23:37",0.6286,24,ntuonlyin
39,14787987,R14922017,"2025-11-23 15:57:38",0.6280,5,kappaleee
40,14655657,B11202015,"2025-11-20 07:48:01",0.6279,18,enshengteng
41,14739048,B11902166,"2025-11-20 01:43:55",0.6271,13,b11902166
42,14646006,r14922126,"2025-11-20 12:26:15",0.6270,14,r14922126ntu
43,14692616,B11901053,"2025-11-21 14:41:40",0.6270,34,murphhsu
44,14684074,B13901009,"2025-11-18 23:07:59",0.6253,12,chianrulin
45,14685550,D14944008,"2025-11-21 10:20:52",0.6241,20,mengkaihsu
46,14651014,p14922002,"2025-11-21 13:58:57",0.6204,19,asasamdassadw
47,14662305,R13943063,"2025-11-23 12:34:41",0.6178,29,clc063
48,14644327,R14944052,"2025-11-21 14:18:40",0.6176,6,r14944052
49,14685199,r13543067,"2025-11-21 10:52:27",0.6176,26,r13543067
50,14682004,R13521512,"2025-11-21 11:40:49",0.6141,17,markchen0823
51,14686499,r14922115,"2025-11-21 10:31:31",0.6136,26,r14922115
0,14629788,submission.csv,"2025-10-30 08:01:48",0.6116,1,
52,14721515,b12505009,"2025-11-22 14:31:01",0.6107,24,b12505009
53,14648336,"[Deleted] 4bce4bf9-27a8-4cd2-bd44-2e57280113a4","2025-11-16 06:01:38",0.6100,12,del=fd2ee24f52a03ee3
54,14757753,D13922001,"2025-11-19 03:26:26",0.6100,6,d13922001
55,14720878,R14922073,"2025-11-19 01:06:06",0.6085,22,r14922073
56,14680987,R13922A15,"2025-11-21 08:03:06",0.6049,8,ntuhoshichen
57,14680843,r13922a23,"2025-11-22 03:09:38",0.6048,26,ntur13922a23
58,14788590,R14944026,"2025-11-23 03:07:50",0.6044,13,colachenkc
59,14652942,D13922037,"2025-11-21 06:51:19",0.6017,6,roychao2026
60,14707440,R14922A13,"2025-11-21 15:18:51",0.6012,31,r14922a13
61,14643890,R14942142,"2025-11-22 11:24:11",0.5987,26,r14942142
62,14651979,r14922121,"2025-11-21 11:00:38",0.5970,13,mazihheng
63,14713205,r13943151,"2025-11-23 10:18:04",0.5961,6,r13943151
64,14661727,r13543003,"2025-11-21 08:40:29",0.5943,12,chengyaoliang
65,14669649,R14922A15,"2025-11-21 13:09:52",0.5935,24,ryanenn
66,14662715,B13901007,"2025-11-21 15:26:37",0.5917,11,sixianhsu
67,14638595,R13521513,"2025-11-18 19:01:07",0.5861,11,yunlo0511
