Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14692616,B11901053,"2025-11-21 14:41:40",0.7740,34,murphhsu
2,14758330,R14922142,"2025-11-22 12:04:23",0.7697,16,misuhsieh
3,14666334,b13902060,"2025-11-21 02:49:50",0.7674,33,cwh555
4,14696909,R14922164,"2025-11-20 10:44:49",0.7668,23,davidg34
5,14636757,R14922010,"2025-11-15 17:30:38",0.7626,17,ytbr14
6,14746862,R14943027,"2025-11-21 09:04:46",0.7605,19,jeffchen2025
7,14672357,B11901152,"2025-11-21 15:09:46",0.7597,24,dereklin20031205
8,14723658,R14945026,"2025-11-20 20:23:40",0.7578,17,maxzyz
9,14743478,B13902127,"2025-11-22 09:47:34",0.7577,14,chiatiling2
10,14674066,B11901166,"2025-11-21 09:56:57",0.7575,31,b11901166
11,14648336,"[Deleted] 4bce4bf9-27a8-4cd2-bd44-2e57280113a4","2025-11-16 06:01:38",0.7573,12,del=fd2ee24f52a03ee3
12,14757753,D13922001,"2025-11-19 03:26:26",0.7573,6,d13922001
13,14653343,R14922101,"2025-11-21 17:38:58",0.7560,27,r14922101
14,14685550,D14944008,"2025-11-21 10:20:52",0.7552,20,mengkaihsu
15,14645007,D14922013,"2025-11-22 02:27:44",0.7526,21,ntud14922013
16,14647541,R14922A10,"2025-11-18 12:25:08",0.7509,23,skltrrf
17,14788590,R14944026,"2025-11-23 03:07:50",0.7508,13,colachenkc
18,14787987,R14922017,"2025-11-23 15:57:38",0.7496,5,kappaleee
19,14684074,B13901009,"2025-11-18 23:07:59",0.7496,12,chianrulin
20,14714125,R14922A14,"2025-11-20 00:09:34",0.7495,21,blebub
21,14642202,R14943148,"2025-11-18 04:02:38",0.7482,14,r14943148
22,14680054,r13943142,"2025-11-21 07:07:36",0.7475,26,r13943142
23,14646006,r14922126,"2025-11-20 12:26:15",0.7470,14,r14922126ntu
24,14772345,B13902014,"2025-11-23 03:21:19",0.7469,11,willychanntu
25,14726226,b12505014,"2025-11-22 14:37:56",0.7455,23,b12505014
26,14655657,B11202015,"2025-11-20 07:48:01",0.7452,18,enshengteng
27,14708296,R14922015,"2025-11-23 07:23:18",0.7452,26,weixuan0102
28,14713020,R14922A05,"2025-11-21 05:24:37",0.7448,20,r14922a05
29,14696078,b12505010,"2025-11-22 14:11:07",0.7445,27,b12505010
30,14652518,r14946008,"2025-11-21 12:45:23",0.7439,20,r14946008
